number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
11,2013,The Croods,187168425,135000000,2013-03-22,20th Century Fox,PG,The Croods,Original Screenplay,Adventure,Digital Animation,Kids Fiction,DreamWorks Animation,United States,yes,125m-150m,150m-200m,"Chris Sanders,Kirk De Micco","action,adventure,animation",English,481499,"Animation,Action,Adventure,Comedy,Family,Fantasy",21st_century_fox
864,2014,The Judge,47119388,50000000,2014-10-10,Warner Bros.,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Team Downey,Big Kid Pictures",United States,yes,50m-75m,50k-50m,David Dobkin,"crime,drama",English,1872194,"Crime,Drama",time_warner
1775,2015,Focus,53862963,65000000,2015-02-27,Warner Bros.,PG-13,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Di Novi Pictures,Zaftig Films",United States,yes,50m-75m,50m-100m,"Glenn Ficarra,John Requa","comedy,crime,drama","English,Spanish",2381941,"Comedy,Crime,Drama,Romance",time_warner
3910,2017,Happy Death Day,55683845,5000000,2017-10-13,Universal,PG-13,,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Blumhouse,Universal Pictures",United States,yes,100k-25m,50m-100m,Christopher Landon,"horror,mystery,thriller",English,5308322,"Horror,Mystery,Thriller",nbc_universal
871,2014,A Walk Among the Tombstones,26017685,28000000,2014-09-19,Universal,R,,Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,"Exclusive Media Group,Cross Creek Pictures",United States,yes,25m-50m,50k-50m,Scott Frank,"crime,drama,mystery","English,Spanish,Urdu,Russian",365907,"Crime,Drama,Mystery,Thriller",nbc_universal
1792,2015,Black Mass,62575678,53000000,2015-09-18,Warner Bros.,R,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Warner Bros.,Cross Creek Pictures,Le Grisbi,Free State Pictures,Head Gear Films,RatPac Entertainment,Dune Entertainment,Vendian Entertainment",United States,yes,50m-75m,50m-100m,Scott Cooper,"biography,crime,drama",English,1355683,"Biography,Crime,Drama",time_warner
5439,2018,Gotti,4286367,10000000,2018-06-15,Vertical Entertainment,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Emmett Furla Oasis Films,Michael Fiore Films,Highland Film Group",United States,yes,100k-25m,50k-50m,Kevin Connolly,"biography,crime,drama",English,1801552,"Biography,Crime,Drama",others
20,2013,The Great Gatsby,144840419,190000000,2013-05-10,Warner Bros.,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Warner Bros.,Village Roadshow Productions,A&E Indiefilms,Bazmark,Red Wagon Entertainment",United States,yes,175m-200m,100m-150m,Baz Luhrmann,"drama,romance",English,1343092,"Drama,Romance",time_warner
824,2014,Dracula Untold,55991880,70000000,2014-10-10,Universal,PG-13,,Based on Fiction Book/Short Story,Action,Live Action,Fantasy,"Legendary Pictures,Relativity Media,Michael De Luca",United States,yes,50m-75m,50m-100m,Gary Shore,"action,drama,fantasy","English,Turkish",829150,"Action,Drama,Fantasy,Horror,War",nbc_universal
2890,2016,The Jungle Book,364001123,175000000,2016-04-15,Walt Disney,PG,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Fairview Entertainment",United States,yes,175m-200m,350m-400m,Jon Favreau,"adventure,drama,family",English,3040964,"Adventure,Drama,Family,Fantasy",disney
3976,2017,Gold,7227038,0,2017-01-27,Weinstein Co.,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Black Bear,Hwy 61 Films,Sierra Films,Affinity",United States,yes,no info,50k-50m,Stephen Gaghan,"adventure,drama,thriller","English,Indonesian",1800302,"Adventure,Drama,Thriller",others
5176,2018,Pacific Rim: Uprising,59185715,155000000,2018-03-23,Universal,PG-13,Pacific Rim,Original Screenplay,Action,Live Action,Science Fiction,"Legendary Pictures,UpperRoom Entertainment Limited,Double Dare You,Universal Pictures",United States,yes,150m-175m,50m-100m,Steven S. DeKnight,"action,adventure,sci-fi","English,Mandarin,Russian",2557478,"Action,Adventure,Sci-Fi",nbc_universal
1747,2015,Cinderella,201151353,95000000,2015-03-13,Walt Disney,PG,,Based on Folk Tale/Legend/Fairytale,Drama,Live Action,Fantasy,"Allison Shearmur,Beaglepug,Kinberg Genre",United States,yes,75m-100m,200m-250m,Kenneth Branagh,"drama,family,fantasy",English,1661199,"Drama,Family,Fantasy,Romance",disney
110,2013,Broken City,19701164,35000000,2013-01-18,20th Century Fox,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Regency Enterprises,Emmett/Furla Films,Black Bear,New Regency,Closest to the Hole,Leverage,Allen Hughes,Envision Media,1984 Private Defense Contractors",United States,yes,25m-50m,50k-50m,Allen Hughes,"crime,drama,thriller","English,Spanish",1235522,"Crime,Drama,Thriller",21st_century_fox
5338,2018,Book Club,68566296,10000000,2018-05-18,Paramount Pictures,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"June Pictures,Paramount Pictures,Endeavor Films,Sine Qua Non",United States,yes,100k-25m,50m-100m,Bill Holderman,"comedy,drama,romance",English,6857166,"Comedy,Drama,Romance",viacom
185,2013,Parkland,641439,10000000,2013-10-04,Exclusive Releasing,PG-13,,Original Screenplay,Drama,Live Action,Historical Fiction,"Exclusive Media Group,The American Film Co,Millennium Entertainment,Playtone",United States,yes,100k-25m,50k-50m,Peter Landesman,"drama,history,mystery",English,2345112,"Drama,History,Mystery,Thriller",others
5181,2018,"Love, Simon",40826341,10000000,2018-03-16,20th Century Fox,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Fox 2000 Pictures,Temple Hill Entertainment",United States,yes,100k-25m,50k-50m,Greg Berlanti,"comedy,drama,romance",English,5164432,"Comedy,Drama,Romance",21st_century_fox
