number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
3867,2017,Pirates of the Caribbean: Dead Men Tell No Tales,172558876,230000000,2017-05-26,Walt Disney,PG-13,Pirates of the Caribbean,Based on Theme Park Ride,Adventure,Live Action,Fantasy,"Walt Disney Pictures,Jerry Bruckheimer",United States,yes,225m-250m,150m-200m,"Joachim Ronnin,Espen Sandberg","action,adventure,fantasy","English,Spanish",1790809,"Action,Adventure,Fantasy",disney
164,2013,The East,2274649,6500000,2013-05-31,Fox Searchlight,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Scott Free Films,United States,yes,100k-25m,50k-50m,Zal Batmanglij,"adventure,drama,thriller","English,American Sign Language",1869716,"Adventure,Drama,Thriller",21st_century_fox
12,2013,World War Z,202359711,190000000,2013-06-21,Paramount Pictures,PG-13,World War Z,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Skydance Productions,Hemisphere Media Capital,GK Films,Plan B Entertainment,2Dux2",United States,yes,175m-200m,200m-250m,Marc Forster,"action,adventure,horror","English,Spanish,Hebrew,Arabic",816711,"Action,Adventure,Horror,Sci-Fi,Thriller",viacom
1834,2015,Ricki and the Flash,26839498,18000000,2015-08-07,Sony Pictures,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Marc Platt Productions,Badwill Entertainment ,LStar Capital",United States,yes,100k-25m,50k-50m,Jonathan Demme,"comedy,drama,music",English,3623726,"Comedy,Drama,Music",sony
851,2014,Transcendence,23022309,100000000,2014-04-18,Warner Bros.,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,"Straight Up Films,DMG Entertainment",United States,yes,100m-125m,50k-50m,Wally Pfister,"drama,mystery,romance",English,2209764,"Drama,Mystery,Romance,Sci-Fi,Thriller",time_warner
3023,2016,The Birth of a Nation,15861566,10000000,2016-10-07,Fox Searchlight,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Bron Studios,Phantom Four,Mandalay Pictures,Tiny Giant Productions,Follow Through Productions,Creative Wealth Media Finance,Fox Searchlight Pictures,Novofam Productions,Infinity Entertainment,Oster Media,Point Made Films,Juniper Productions,Argent Pictures,Hit 55 Ventures,TSG Entertainment",United States,yes,100k-25m,50k-50m,Nate Parker,"biography,drama,history",English,4196450,"Biography,Drama,History",21st_century_fox
2895,2016,Suicide Squad,325100054,175000000,2016-08-05,Warner Bros.,PG-13,DC Extended Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment",United States,yes,175m-200m,300m-350m,David Ayer,"action,adventure,fantasy","English,Japanese,Spanish",1386697,"Action,Adventure,Fantasy,Sci-Fi",time_warner
3986,2017,My Cousin Rachel,2716368,0,2017-06-09,Fox Searchlight,PG-13,,Remake,Drama,Live Action,Contemporary Fiction,"Fox Searchlight Pictures,TSG Entertainment,Free Range Film",United States,yes,no info,50k-50m,Roger Michell,"drama,mystery,romance","English,Italian",4411596,"Drama,Mystery,Romance",21st_century_fox
3074,2016,Green Room,3220371,5000000,2016-04-15,A24,R,,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Broad Green Pictures,Filmscience",United States,yes,100k-25m,50k-50m,Jeremy Saulnier,"horror,thriller",English,4062536,"Horror,Thriller",others
217,2013,The Reluctant Fundamentalist,528731,15000000,2013-04-26,IFC Films,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,yes,100k-25m,50k-50m,Mira Nair,"drama,thriller","English,Urdu",2032557,"Drama,Thriller",others
3899,2017,Baywatch,58060186,60000000,2017-05-25,Paramount Pictures,R,,Based on TV,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures,7 Bucks Productions,Contrafilm,Montecito Picture Company,Vinson Pictures,Flynn Picture Company,Cold Springs Pictures",United States,yes,50m-75m,50m-100m,Seth Gordon,"action,comedy,crime","English,Spanish",1469304,"Action,Comedy,Crime",viacom
2927,2016,The BFG,55483770,140000000,2016-07-01,Walt Disney,PG,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Kids Fiction,"Walden Media,Walt Disney Pictures,Amblin Entertainment,Reliance Entertainment,The Kennedy/Marshall Company",United States,yes,125m-150m,50m-100m,Steven Spielberg,"adventure,family,fantasy",English,3691740,"Adventure,Family,Fantasy",disney
837,2014,Into the Storm,47602194,50000000,2014-08-08,Warner Bros.,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Broken Road,United States,yes,50m-75m,50k-50m,Steven Quale,"action,thriller",English,2106361,"Action,Thriller",time_warner
3918,2017,Rings,27793018,25000000,2017-02-03,Paramount Pictures,PG-13,Ring,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Parkes+Macdonald Productions,Paramount Pictures",United States,yes,25m-50m,50k-50m,Javier Gutierrez,"drama,horror,romance",English,498381,"Drama,Horror,Romance",viacom
1786,2015,Get Hard,90411453,40000000,2015-03-27,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Gary Sanchez Productions,Warner Bros.,RatPac Entertainment,Dune Entertainment",United States,yes,25m-50m,50m-100m,Etan Cohen,"comedy,crime",English,2561572,"Comedy,Crime",time_warner
2994,2016,Blair Witch,20777061,10000000,2016-09-16,Lionsgate,R,Blair Witch Project,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Lionsgate,Vertigo Entertainment,Room 101,Snoot Entertainment",United States,yes,100k-25m,50k-50m,Adam Wingard,"horror,thriller",English,1540011,"Horror,Thriller",lionsgate
2903,2016,Jason Bourne,162192920,120000000,2016-07-29,Universal,PG-13,Bourne,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"Universal Pictures,Perfect World Pictures,The Kennedy/Marshall Company,Captivate Entertainment,Pearl Street",United States,yes,100m-125m,150m-200m,Paul Greengrass,"action,thriller","English,Greek,German,Japanese",4196776,"Action,Thriller",nbc_universal
1798,2015,In the Heart of the Sea,25020758,100000000,2015-12-11,Warner Bros.,PG-13,,Based on Real Life Events,Adventure,Live Action,Dramatization,"Warner Bros.,Village Roadshow Productions,Cott Productions    ,Enelmar Productions, A.I.E. ,Roth Films,Spring Creek    ,Imagine Entertainment,Kia Jam Productions,RatPac Entertainment,Dune Entertainment",United States,yes,100m-125m,50k-50m,Ron Howard,"action,adventure,biography",English,1390411,"Action,Adventure,Biography,Drama,History,Thriller",time_warner
3104,2016,Priceless,1499605,0,2016-10-14,Roadside Attractions,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Radiate Films,United States,yes,no info,50k-50m,Ben Smallbone,"crime,drama,romance",English,4978274,"Crime,Drama,Romance,Thriller",lionsgate
2991,2016,The Witch,25138705,3500000,2016-02-19,A24,R,,Original Screenplay,Horror,Live Action,Fantasy,"A24,Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Films,Mott Street Pictures,Code Red,Scythia Films,Pulse Films,Special Projects","Brazil,Canada,United Kingdom,United States",yes,100k-25m,50k-50m,Robert Eggers,"horror,mystery",English,4263482,"Horror,Mystery",others
800,2014,Godzilla,200676069,160000000,2014-05-16,Warner Bros.,PG-13,Godzilla,Remake,Action,Live Action,Science Fiction,Legendary Pictures,United States,yes,150m-175m,200m-250m,Gareth Edwards,"action,adventure,sci-fi","English,Japanese",831387,"Action,Adventure,Sci-Fi,Thriller",time_warner
173,2013,I'm in Love with a Church Girl,2387730,0,2013-10-18,High Top Releasing,PG,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Reverence Gospel Media,United States,yes,no info,50k-50m,Steve Race,"crime,drama,romance",English,1618432,"Crime,Drama,Romance",others
868,2014,Begin Again,16170632,8000000,2014-07-02,Weinstein Co.,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Exclusive Media Group,Likely Story",United States,yes,100k-25m,50k-50m,John Carney,"comedy,drama,music",English,1980929,"Comedy,Drama,Music,Romance",others
908,2014,Winter's Tale,12600231,60000000,2014-02-14,Warner Bros.,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Fantasy,"Weed Road Pictures,Marc Platt Productions",United States,yes,50m-75m,50k-50m,Akiva Goldsman,"drama,fantasy,mystery",English,1837709,"Drama,Fantasy,Mystery,Romance",time_warner
2896,2016,Doctor Strange,232641920,165000000,2016-11-04,Walt Disney,PG-13,Marvel Cinematic Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,yes,150m-175m,200m-250m,Scott Derrickson,"action,adventure,fantasy",English,1211837,"Action,Adventure,Fantasy,Sci-Fi",disney
5344,2018,Tully,9227130,0,2018-05-04,Focus Features,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Bron Studios,Right of Way Films,Denver & Delilah Films,Focus Features,West Egg,Creative Wealth Media Finance",United States,yes,no info,50k-50m,Jason Reitman,"comedy,drama",English,5610554,"Comedy,Drama,Mystery",nbc_universal
874,2014,Dolphin Tale 2,42024533,36000000,2014-09-12,Warner Bros.,PG,Dolphin Tale,Original Screenplay,Drama,Live Action,Kids Fiction,Alcon Entertainment,United States,yes,25m-50m,50k-50m,Charles Martin Smith,"drama,family",English,2978462,"Drama,Family",time_warner
4015,2017,Sleight,3930990,250000,2017-04-28,High Top Releasing,R,,Original Screenplay,Action,Live Action,Science Fiction,"WWE Studios,BH Tilt,Diablo Entertainment",United States,yes,100k-25m,50k-50m,J.D. Dillard,"action,drama,sci-fi",English,4573516,"Action,Drama,Sci-Fi,Thriller",others
5177,2018,Tomb Raider,57421715,90000000,2018-03-16,Warner Bros.,PG-13,,Based on Game,Action,Live Action,Contemporary Fiction,"Metro-Goldwyn-Mayer Pictures,Warner Bros.,GK Films,Square Enix Business",United States,yes,75m-100m,50m-100m,Roar Uthaug,"action,adventure,fantasy","English,Cantonese,Hindi",1365519,"Action,Adventure,Fantasy,Thriller",time_warner
72,2013,The Internship,44672764,58000000,2013-06-07,20th Century Fox,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"20th Century Fox,Regency Enterprises,Wild West Picture Show,21 Laps Entertainment",United States,yes,50m-75m,50k-50m,Shawn Levy,comedy,"English,Tagalog,Cantonese,Mandarin,Spanish",2234155,Comedy,21st_century_fox
2987,2016,Eddie the Eagle,15789389,23000000,2016-02-26,20th Century Fox,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"MARV Films,Lionsgate,Saville Productions","United Kingdom,United States",yes,100k-25m,50k-50m,Dexter Fletcher,"biography,comedy,drama","English,German,Norwegian",1083452,"Biography,Comedy,Drama,Sport",21st_century_fox
1777,2015,Pan,35088320,150000000,2015-10-09,Warner Bros.,PG,,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,"Warner Bros.,Berlanti Productions,RatPac Entertainment,Dune Entertainment",United States,yes,150m-175m,50k-50m,Joe Wright,"adventure,family,fantasy",English,3332064,"Adventure,Family,Fantasy",time_warner
5503,2018,Mission: Impossible—Fallout,218139667,0,2018-07-27,Paramount Pictures,PG-13,Mission: Impossible,Based on TV,Action,Live Action,Contemporary Fiction,"Skydance Productions,Bad Robot,Paramount Pictures",United States,yes,no info,200m-250m,Christopher McQuarrie,"action,adventure,thriller","English,French",4912910,"Action,Adventure,Thriller",viacom
5118,2018,Peter Rabbit,115234093,50000000,2018-02-09,Sony Pictures,PG,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Kids Fiction,"Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Animation,Animal Logic,2.0 Entertainment","Australia,United States",yes,50m-75m,100m-150m,Will Gluck,"adventure,animation,comedy",English,5117670,"Animation,Adventure,Comedy,Family,Fantasy",sony
902,2014,Draft Day,28842237,25000000,2014-04-11,Lionsgate,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Summit Entertainment,United States,yes,25m-50m,50k-50m,Ivan Reitman,"drama,sport",English,2223990,"Drama,Sport",lionsgate
39,2013,White House Down,73103784,150000000,2013-06-28,Sony Pictures,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Columbia Pictures,Mythology Entertainment,Centropolis Entertainment",United States,yes,150m-175m,50m-100m,Roland Emmerich,"action,drama,thriller",English,2334879,"Action,Drama,Thriller",sony
52,2013,RED 2,53262560,84000000,2013-07-19,Lionsgate,PG-13,RED,Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction,"Summit Entertainment,di Bonaventura Pictures",United States,yes,75m-100m,50m-100m,Dean Parisot,"action,comedy,crime","English,Russian,French,Persian,Korean",1821694,"Action,Comedy,Crime,Thriller",lionsgate
1753,2015,Kingsman: The Secret Service,128261724,94000000,2015-02-13,20th Century Fox,R,Kingsman,Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction,"20th Century Fox,Marv of a Cloudy,TSG Entertainment","United Kingdom,United States",yes,75m-100m,100m-150m,Matthew Vaughn,"action,adventure,comedy","English,Arabic,Swedish",2802144,"Action,Adventure,Comedy,Thriller",21st_century_fox
69,2013,42,95020213,40000000,2013-04-12,Warner Bros.,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"Warner Bros.,Legendary Pictures,Brian Helgeland",United States,yes,25m-50m,50m-100m,Brian Helgeland,"biography,drama,sport",English,453562,"Biography,Drama,Sport",time_warner
2905,2016,Independence Day: Resurgence,103144286,165000000,2016-06-24,20th Century Fox,PG-13,Independence Day,Original Screenplay,Action,Live Action,Science Fiction,20th Century Fox,United States,yes,150m-175m,100m-150m,Roland Emmerich,"action,adventure,sci-fi","English,Mandarin",1628841,"Action,Adventure,Sci-Fi",21st_century_fox
830,2014,The Equalizer,101530738,55000000,2014-09-26,Sony Pictures,R,The Equalizer,Based on TV,Action,Live Action,Contemporary Fiction,"Escape Artists,Zhiv,Mace Neufeld,Columbia Pictures",United States,yes,50m-75m,100m-150m,Antoine Fuqua,"action,crime,thriller","English,Russian,Spanish",455944,"Action,Crime,Thriller",sony
1877,2015,Me and Earl and the Dying Girl,6758416,8000000,2015-07-01,Fox Searchlight,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Indian Paintbrush,Rhode Island Ave.",United States,yes,100k-25m,50k-50m,Alfonso Gomez-Rejon,"comedy,drama",English,2582496,"Comedy,Drama,Romance",21st_century_fox
40,2013,Percy Jackson: Sea of Monsters,68559554,90000000,2013-08-07,20th Century Fox,PG,Percy Jackson,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,1492 Pictures,United States,yes,75m-100m,50m-100m,Thor Freudenthal,"adventure,family,fantasy",English,1854564,"Adventure,Family,Fantasy,Thriller",21st_century_fox
2906,2016,The Angry Birds Movie,107509366,73000000,2016-05-20,Sony Pictures,PG,,Based on Game,Adventure,Digital Animation,Kids Fiction,"Columbia Pictures,Rovio Animation","Finland,United States",yes,50m-75m,100m-150m,"Clay Kaytis,Fergal Reilly","action,adventure,animation",English,1985949,"Animation,Action,Adventure,Comedy,Family",sony
22,2013,Now You See Me,117723989,75000000,2013-05-31,Lionsgate,PG-13,Now You See Me,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Summit Entertainment,K/O Paper Products",United States,yes,75m-100m,100m-150m,Louis Leterrier,"crime,mystery,thriller","English,French",1670345,"Crime,Mystery,Thriller",lionsgate
833,2014,The Monuments Men,78031620,70000000,2014-02-07,Sony Pictures,PG-13,,Based on Factual Book/Article,Drama,Live Action,Historical Fiction,Smokehouse Pictures,"Germany,United States",yes,50m-75m,50m-100m,George Clooney,"drama,history,war","English,German,Russian,French,Flemish,Dutch",2177771,"Drama,History,War",sony
18,2013,G.I. Joe: Retaliation,122523060,140000000,2013-03-27,Paramount Pictures,PG-13,G.I. Joe,Based on Toy,Action,Animation/Live Action,Contemporary Fiction,"Paramount Pictures,Metro-Goldwyn-Mayer Pictures,Skydance Productions,Hasbro,di Bonaventura Pictures",United States,yes,125m-150m,100m-150m,Jon M. Chu,"action,adventure,sci-fi",English,1583421,"Action,Adventure,Sci-Fi,Thriller",viacom
3874,2017,Dunkirk,190068280,150000000,2017-07-21,Warner Bros.,PG-13,,Original Screenplay,Action,Live Action,Dramatization,"Warner Bros.,Syncopy,RatPac Entertainment,Dune Entertainment","France,Netherlands,United Kingdom,United States",yes,150m-175m,150m-200m,Christopher Nolan,"action,drama,history","English,French,German",5013056,"Action,Drama,History,Thriller,War",time_warner
3014,2016,Bad Santa 2,17782176,0,2016-11-23,Broad Green Pictures,R,Bad Santa,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Ingenious Media,Broad Green Pictures,Miramax Films",United States,yes,no info,50k-50m,Mark Waters,"comedy,crime,drama",English,1798603,"Comedy,Crime,Drama",others
103,2013,The Last Stand,12050299,30000000,2013-01-18,Lionsgate,R,,Original Screenplay,Action,Live Action,Contemporary Fiction,"Lionsgate,di Bonaventura Pictures",United States,yes,25m-50m,50k-50m,Kim Jee-woon,"action,thriller",English,1549920,"Action,Thriller",lionsgate
130,2013,Machete Kills,8008161,20000000,2013-10-11,Open Road,R,Machete,Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,yes,100k-25m,50k-50m,Robert Rodriguez,"action,crime,sci-fi","English,Spanish",2002718,"Action,Crime,Sci-Fi,Thriller",others
160,2013,The Iceman,1930282,10000000,2013-05-03,Alchemy,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Millennium Films,Ehud Bleiberg",United States,yes,100k-25m,50k-50m,Ariel Vromen,"biography,crime,drama",English,1491044,"Biography,Crime,Drama,Thriller",others
2936,2016,Jack Reacher: Never Go Back,58697076,60000000,2016-10-21,Paramount Pictures,PG-13,Jack Reacher,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"Paramount Pictures,Skydance Productions,Tom Cruise Productions",United States,yes,50m-75m,50m-100m,Edward Zwick,"action,adventure,thriller","English,Ukrainian",3393786,"Action,Adventure,Thriller",viacom
2956,2016,Money Monster,41012075,27000000,2016-05-13,Sony Pictures,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Tri-Star Pictures,LStar Capital,Smokehouse Pictures,Allegiance Theater",United States,yes,25m-50m,50k-50m,Jodie Foster,"crime,drama,thriller","English,Korean,Icelandic",2241351,"Crime,Drama,Thriller",sony
129,2013,Admission,18007317,13000000,2013-03-22,Focus Features,PG-13,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Focus Features,Depth of Field",United States,yes,100k-25m,50k-50m,Paul Weitz,"comedy,drama,romance",English,1814621,"Comedy,Drama,Romance",nbc_universal
3007,2016,The Choice,18730891,0,2016-02-05,Lionsgate,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Lionsgate,Nicholas Sparks Productions,The Safran Company",United States,yes,no info,50k-50m,Ross Katz,"drama,romance",English,3797868,"Drama,Romance",lionsgate
3100,2016,Elvis & Nixon,1055284,0,2016-04-22,Bleecker Street & Amazon Studios,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Jellyfish Bloom,Autumn Productions,Elevated,Holly Wiersma,Johnny Mac,David Hansen,Benaroya Pictures",United States,yes,no info,50k-50m,Liza Johnson,"comedy,history",English,2093991,"Comedy,History",others
797,2014,Big Hero 6,222527828,165000000,2014-11-07,Walt Disney,PG,,Original Screenplay,Adventure,Digital Animation,Super Hero,Walt Disney Animation Studios,United States,yes,150m-175m,200m-250m,"Don Hall,Chris Williams","action,adventure,animation",English,2245084,"Animation,Action,Adventure,Comedy,Drama,Family,Sci-Fi",disney
176,2013,Austenland,2137573,0,2013-08-16,Sony Pictures Classics,PG-13,,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,"Stage 6 Films,Sony Pictures Classics","United Kingdom,United States",yes,no info,50k-50m,Jerusha Hess,"comedy,romance",English,1985019,"Comedy,Romance",sony
3992,2017,Birth of the Dragon,6901965,31000000,2017-08-25,BH Tilt,PG-13,,Based on Real Life Events,Action,Live Action,Historical Fiction,"Kylin Pictures,Groundswell Productions,WWE Studios,BH Tilt,Anomally Entertainment",United States,yes,25m-50m,50k-50m,George Nolfi,"action,biography,drama","English,Mandarin",2720826,"Action,Biography,Drama",others
3858,2017,Beauty and the Beast,504014165,160000000,2017-03-17,Walt Disney,PG,,Remake,Musical,Animation/Live Action,Fantasy,"Walt Disney Pictures,Mandeville Films",United States,yes,150m-175m,500m-550m,Bill Condon,"family,fantasy,musical",English,2771200,"Family,Fantasy,Musical,Romance",disney
3037,2016,Queen of Katwe,8874389,0,2016-09-30,,PG,,Based on Factual Book/Article,Drama,Live Action,Dramatization,,United States,yes,no info,50k-50m,Mira Nair,"biography,drama,sport",English,4341582,"Biography,Drama,Sport",no_info
2977,2016,The Nice Guys,36261763,50000000,2016-05-20,Warner Bros.,R,,Original Screenplay,Black Comedy,Live Action,Historical Fiction,"Warner Bros.,Silver Pictures,Waypoint Entertainment",United States,yes,50m-75m,50k-50m,Shane Black,"action,comedy,crime",English,3799694,"Action,Comedy,Crime,Mystery,Thriller",time_warner
3024,2016,Pride and Prejudice and Zombies,10907291,28000000,2016-02-05,Sony Pictures,PG-13,,Based on Fiction Book/Short Story,Black Comedy,Live Action,Science Fiction,"Cross Creek Pictures,Lionsgate,Sierra Pictures,QC Entertainment,Allison Shearmur,Handsomecharlie Films,MadRiver Pictures,Head Gear Films",United States,yes,25m-50m,50k-50m,Burr Steers,"action,horror,romance","English,Japanese,Chinese",1374989,"Action,Horror,Romance",sony
102,2013,The Big Wedding,21819348,32500000,2013-04-26,Lionsgate,R,,Remake,Romantic Comedy,Live Action,Contemporary Fiction,"Lionsgate,Two Ton Films",United States,yes,25m-50m,50k-50m,Justin Zackham,"comedy,drama,romance","English,Spanish,Chinese,Latin",1931435,"Comedy,Drama,Romance",lionsgate
3907,2017,King Arthur: Legend of the Sword,39175066,175000000,2017-05-12,Warner Bros.,PG-13,,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,Fantasy,"Weed Road Pictures,Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,Safehouse Pictures","Australia,United States",yes,175m-200m,50k-50m,Guy Ritchie,"action,adventure,drama",English,1972591,"Action,Adventure,Drama,Fantasy",time_warner
1781,2015,The Last Witch Hunter,27367660,80000000,2015-10-23,Lionsgate,PG-13,,Original Screenplay,Action,Live Action,Fantasy,"Marc Canton,One Race Films,Goldmann Pictures,Summit Entertainment",United States,yes,75m-100m,50k-50m,Breck Eisner,"action,adventure,fantasy",English,1618442,"Action,Adventure,Fantasy",lionsgate
1737,2015,Jurassic World,652270625,215000000,2015-06-12,Universal,PG-13,Jurassic Park,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Universal Pictures,Amblin Entertainment,Legendary Pictures",United States,yes,200m-225m,650m-700m,Colin Trevorrow,"action,adventure,sci-fi",English,369610,"Action,Adventure,Sci-Fi",nbc_universal
2911,2016,Now You See Me 2,65075540,90000000,2016-06-10,Lionsgate,PG-13,Now You See Me,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Summit Entertainment,TIK Films,K/O Paper Products",United States,yes,75m-100m,50m-100m,Jon M. Chu,"action,adventure,comedy","English,Mandarin,Cantonese",3110958,"Action,Adventure,Comedy,Crime,Mystery,Thriller",lionsgate
2935,2016,The Magnificent Seven,93432655,90000000,2016-09-23,Sony Pictures,PG-13,,Remake,Western,Live Action,Historical Fiction,"Metro-Goldwyn-Mayer Pictures,Columbia Pictures,LStar Capital,Village Roadshow Productions,Pin High,Escape Artists",United States,yes,75m-100m,50m-100m,Antoine Fuqua,"action,adventure,western","English,North American Indian,Spanish",2404435,"Action,Adventure,Western",sony
2899,2016,X-Men: Apocalypse,155442489,178000000,2016-05-27,20th Century Fox,PG-13,X-Men,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Twentieth Century Fox,Marvel Studios,TSG Entertainment,Bad Hat Harry Productions,Kinberg Genre,Hutch Parker,Donners' Company",United States,yes,175m-200m,150m-200m,Bryan Singer,"action,adventure,sci-fi","English,Polish,German,Arabic,Egyptian (Ancient)",3385516,"Action,Adventure,Sci-Fi",21st_century_fox
98,2013,Homefront,20158492,22000000,2013-11-27,Open Road,R,,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"Gary Fleder,Millennium Films,Endgame Entertainment,Open Road Films",United States,yes,100k-25m,50k-50m,Gary Fleder,"action,crime,drama",English,2312718,"Action,Crime,Drama,Thriller",others
191,2013,The Ultimate Life,1327841,0,2013-09-06,High Top Releasing,PG,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Rick Eldridge,ReelWorks Studios",United States,yes,no info,50k-50m,"Michael Landon, Jr.","drama,romance",English,1778924,"Drama,Romance",others
2909,2016,Star Trek Beyond,158848340,185000000,2016-07-22,Paramount Pictures,PG-13,Star Trek,Based on TV,Adventure,Live Action,Science Fiction,"Sneaky Shark,Paramount Pictures,Bad Robot,Skydance Productions,Perfect Storm Entertainment",United States,yes,175m-200m,150m-200m,Justin Lin,"action,adventure,sci-fi",English,2660888,"Action,Adventure,Sci-Fi,Thriller",viacom
1856,2015,Black or White,21571189,9000000,2015-01-30,,PG-13,,Based on Real Life Events,Drama,Live Action,Contemporary Fiction,"Treehouse Films,Sunlight Productions,IM Global",United States,yes,100k-25m,50k-50m,Mike Binder,drama,English,2883434,Drama,no_info
3953,2017,The Beguiled,10576669,0,2017-06-30,Focus Features,R,,Remake,Western,Live Action,Historical Fiction,"Focus Features,American Zoetrope",United States,yes,no info,50k-50m,Sofia Coppola,"drama,thriller","English,French",5592248,"Drama,Thriller",nbc_universal
68,2013,Evil Dead,54239856,17000000,2013-04-05,Sony Pictures,R,Evil Dead,Remake,Horror,Live Action,Fantasy,"Tri-Star Pictures,FilmDistrict,Ghost House Pictures",United States,yes,100k-25m,50m-100m,Fede Álvarez,"fantasy,horror,thriller","English,Welsh",1288558,"Fantasy,Horror,Thriller",sony
3003,2016,Triple 9,12639297,20000000,2016-02-26,Open Road,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Anonymous Content,Sierra Films,Worldview Entertainment,Open Road Films,MadRiver Pictures,Surefire Entertianment Capital",United States,yes,100k-25m,50k-50m,John Hillcoat,"action,crime,drama","English,Spanish,Russian",1712261,"Action,Crime,Drama,Thriller",others
1754,2015,Home,177397510,130000000,2015-03-27,,PG,,Based on Fiction Book/Short Story,Adventure,Digital Animation,Kids Fiction,DreamWorks Animation,United States,yes,125m-150m,150m-200m,Tim Johnson,"adventure,animation,comedy","English,French",2224026,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",no_info
1828,2015,No Escape,27288872,5000000,2015-08-26,Weinstein Co.,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Bold Films,Brothers Dowdle,Weinstein Company",United States,yes,100k-25m,50k-50m,John Erick Dowdle,"action,thriller","English,French,Thai,Khmer",1781922,"Action,Thriller",others
1787,2015,Sisters,87044645,30000000,2015-12-18,Universal,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Universal Pictures,Little Stranger,Everyman Pictures",United States,yes,25m-50m,50m-100m,Jason Moore,drama,English,6258050,Drama,nbc_universal
1790,2015,Vacation,58884188,31000000,2015-07-29,Warner Bros.,R,National Lampoon's Vacation,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Benderspink Productions,Big Kid Pictures,New Line Cinema,RatPac Entertainment,Dune Entertainment",United States,yes,25m-50m,50m-100m,"John Francis Daley,Jonathan Goldstein","adventure,comedy",English,1524930,"Adventure,Comedy",time_warner
